372 2490 79 1983 2012 2 0 547472
373 2494 76 1985 2038 2 0 558169
374 2502 87 1988 2043 2 0 560570
375 2527 86 1990 2082 2 0 576760
376 2526 82 1992 2082 2 0 580060
377 2529 86 1996 2094 2 0 584810
378 2508 82 1996 2058 2 0 569193
379 2535 79 1999 2098 2 0 586063
380 2533 74 2004 2089 2 0 580417
381 2529 78 2004 2084 2 0 576605
382 2536 83 2006 2096 2 0 582367
383 2530 78 2007 2080 2 0 575270
384 2522 86 2008 2066 2 0 568978
385 2483 82 2010 2005 2 0 546157
386 2498 82 2011 2033 2 0 556413
387 2492 81 2011 2022 2 0 550362
388 2482 80 2015 2005 2 0 545801
389 2504 81 2018 2036 2 0 556986
390 2529 73 2021 2087 2 0 580402
391 2513 84 2026 2062 2 0 570143
392 2492 83 2028 2019 2 0 551570
393 2523 82 2029 2077 2 0 577502
394 2529 85 2030 2088 2 0 581043
395 2532 81 2033 2095 2 0 584154
396 2528 79 2037 2085 2 0 580359
397 2523 83 2039 2077 2 0 576275
398 2492 86 2041 2027 2 0 554157
399 2499 85 2044 2030 2 0 554509
400 2499 91 2045 2026 2 0 554196
401 2522 93 2050 2057 2 0 565702
402 2512 85 2053 2052 2 0 563699
403 2492 77 2054 2026 2 0 552181
404 2492 81 2055 2029 2 0 554371
405 2508 68 2057 2044 2 0 560949
406 2481 73 2058 1996 2 0 538524
407 2499 79 2060 2034 2 0 555689
408 2506 83 2062 2047 2 0 562921
409 2519 81 2066 2063 2 0 567849
410 2470 84 2068 1984 2 0 536088
411 2506 82 2069 2045 2 0 563824
412 2499 87 2070 2027 2 0 552922
413 2514 88 2073 2056 2 0 565475
414 2529 89 2073 2088 2 0 580410
415 2502 80 2077 2039 2 0 556726
416 2493 83 2082 2023 2 0 553753
417 2517 75 2083 2055 2 0 565358
418 2506 77 2084 2048 2 0 562259
419 2489 76 2086 2012 2 0 544680
420 2516 83 2086 2054 2 0 563612
421 2507 84 2087 2051 2 0 563654
422 2505 84 2088 2042 2 0 561329
423 2491 77 2091 2018 2 0 551205
424 2507 77 2092 2049 2 0 562905
425 2557 71 2093 2144 2 0 607876
426 2533 83 2094 2100 2 0 585386
427 2491 86 2098 2027 2 0 553554
428 2494 90 2098 2028 2 0 553671
429 2507 84 2098 2046 2 0 561322
430 2542 79 2103 2101 2 0 588003
431 2544 80 2103 2113 2 0 592353
432 2527 82 2104 2084 2 0 580119
433 2536 83 2104 2095 2 0 583009
434 2552 81 2107 2114 2 0 594341
435 2524 81 2111 2064 2 0 569311
436 2540 86 2114 2107 2 0 589414
437 2475 91 2114 1996 2 0 542666
438 2529 85 2114 2079 2 0 576032
439 2482 86 2118 1995 2 0 539630
440 2505 83 2118 2037 2 0 558046
441 2515 88 2120 2062 2 0 568399
