t	N	S	f197536	f197553	f205457	f205440	f197537
253	1511	62	0	0	0	0	0
254	1544	61	0	0	0	0	0
255	1574	64	0	0	0	0	0
256	1514	68	0	0	0	0	0
257	1520	62	0	0	0	0	0
258	1528	73	0	0	0	0	0
259	1504	71	0	0	0	0	0
260	1531	65	0	0	0	0	0
261	1509	72	0	0	0	0	0
262	1530	66	0	0	0	0	0
263	1559	67	0	0	0	0	0
264	1542	65	0	0	0	0	0
265	1526	66	0	0	0	0	0
266	1536	67	0	0	0	0	0
267	1519	66	0	0	0	0	0
268	1499	65	0	0	0	0	0
269	1508	70	0	0	0	0	0
270	1500	57	0	0	0	0	0
271	1538	63	0	0	0	0	0
272	1506	69	0	0	0	0	0
273	1538	66	0	0	0	0	0
274	1517	63	0	0	0	0	0
275	1550	72	0	0	0	0	0
276	1567	72	0	0	0	0	0
277	1506	63	0	0	0	0	0
278	1494	59	0	0	0	0	0
279	1497	63	0	0	0	0	0
280	1507	65	0	0	0	0	0
281	1533	68	0	0	0	0	0
282	1529	63	0	0	0	0	0
283	1536	67	0	0	0	0	0
284	1545	64	0	0	0	0	0
285	1571	61	0	0	0	0	0
286	1555	68	0	0	0	0	0
287	1545	75	0	0	0	0	0
288	1479	74	0	0	0	0	0
289	1505	70	0	0	0	0	0
290	1486	66	0	0	0	0	0
291	1500	65	0	0	0	0	0
292	1491	61	0	0	0	0	0
293	1513	64	0	0	0	0	0
294	1530	66	0	0	0	0	0
295	1559	75	0	0	0	0	0
296	1559	70	0	0	0	0	0
297	1538	60	0	0	0	0	0
298	1549	65	0	0	0	0	0
299	1536	62	0	0	0	0	0
300	1539	67	0	0	0	0	0
301	1509	69	0	0	0	0	0
302	1507	68	0	0	0	0	0
303	1537	63	0	0	0	0	0
304	1536	63	0	0	0	0	0
305	1546	65	0	0	0	0	0
306	1556	61	0	0	0	0	0
307	1542	67	0	0	0	0	0
308	1527	67	0	0	0	0	0
309	1520	61	0	0	0	0	0
310	1510	65	0	0	0	0	0
311	1492	73	0	0	0	0	0
312	1512	67	0	0	0	0	0
313	1484	71	0	0	0	0	0
314	1519	74	0	0	0	0	0
315	1668	68	0	0	0	0	0
316	2196	94	0	0	0	0	0
317	2431	94	0	0	0	0	0
318	2477	89	0	0	0	0	0
319	2507	78	0	0	0	0	0
320	2517	93	0	0	0	0	0
321	2521	90	0	0	0	0	0
322	2519	83	0	0	0	0	0
323	2529	86	0	0	0	0	0
324	2556	81	0	0	0	0	0
325	2527	78	0	0	0	0	0
326	2529	85	0	0	0	0	0
327	2507	77	0	0	0	0	0
328	2533	77	0	0	0	0	0
329	2531	76	0	0	0	0	0
330	2527	77	0	0	0	0	0
331	2504	79	0	0	0	0	0
332	2533	90	0	0	0	0	0
333	2535	85	0	0	0	0	0
334	2548	82	0	0	0	0	0
335	2552	84	0	0	0	0	0
336	2537	84	0	0	0	0	0
337	2527	88	0	0	0	0	0
338	2482	84	0	0	0	0	0
339	2480	90	0	0	0	0	0
340	2515	81	0	0	0	0	0
341	2512	75	0	0	0	0	0
342	2515	81	0	0	0	0	0
343	2508	86	0	0	0	0	0
344	2546	84	0	0	0	0	0
345	2505	76	0	0	0	0	0
346	2550	81	0	0	0	0	0
347	2507	73	0	0	0	0	0
348	2501	75	0	0	0	0	0
349	2480	87	0	0	0	0	0
