"node","degree","is_hub","radius_t16","radius_t4","radius_tlate"
196,20,FALSE,0.175156935166723,0.0593269776721308,0.000537452048831152
197,28,FALSE,0.111721153483591,0.0498916861097005,0.000478207450301151
198,18,FALSE,0.205791118349463,0.0649778866495066,0.000480446198242905
199,22,FALSE,0.162177969944657,0.0615279530154136,0.00051878612943987
200,19,FALSE,0.194201003758476,0.0671974940234318,0.000560898052729596
201,23,FALSE,0.14952696834235,0.0589473110811745,0.000520784090813406
202,16,FALSE,0.24046838776497,0.0729166580817417,0.000502129363865133
203,15,FALSE,0.264720370895021,0.088383883900977,0.000665806772910642
204,20,FALSE,0.17826448898624,0.0614225995977474,0.000545503425682822
205,19,FALSE,0.189827843794662,0.0631964180991132,0.000531924745257728
206,19,FALSE,0.185705404145154,0.060932232613591,0.000567327198251378
207,22,FALSE,0.15401181173499,0.055336857782214,0.000506211325468168
208,21,FALSE,0.169475750491493,0.059907082203261,0.00048011628573131
209,21,FALSE,0.1691939130772,0.0623673867062416,0.000535360677597186
210,18,FALSE,0.216049170126597,0.0798873907409785,0.000654349945657146
211,21,FALSE,0.174713877590616,0.0693837735007432,0.000619512748127149
212,20,FALSE,0.175015392677308,0.0558470202428556,0.000423394026036615
213,24,FALSE,0.145685237369987,0.0617255075444142,0.000564629964914935
214,23,FALSE,0.14707967280941,0.0586310255942177,0.00055168471968977
215,20,FALSE,0.182016864262851,0.0667716417025363,0.000590245265640044
216,20,FALSE,0.178544806415227,0.0653350516929202,0.000614718523741758
217,15,FALSE,0.260154311413602,0.0840563549019269,0.000695617766690604
218,14,FALSE,0.28115339851307,0.0876686384108632,0.000661004964228638
219,21,FALSE,0.171273358872772,0.0631391985086301,0.000536230098793588
220,24,FALSE,0.133567457683732,0.0500157530998178,0.000466165276441176
221,15,FALSE,0.264531039447982,0.089331339402916,0.000680225479784613
222,15,FALSE,0.260115852837648,0.0827468306694756,0.000668942469843035
223,20,FALSE,0.180017364005917,0.0645031291115942,0.000563288661903309
224,23,FALSE,0.147520597711695,0.0586706815215399,0.000552898690871773
225,20,FALSE,0.17731308931195,0.0588857304043329,0.000457452717379525
226,71,TRUE,0.0342472693565939,0.0160311105050022,0.00015496883103849
227,13,FALSE,0.308374421218697,0.0987086526068872,0.000557726578026648
228,22,FALSE,0.150814111894553,0.0512937507787247,0.00045314934075159
229,19,FALSE,0.186058540976552,0.057768275617297,0.000465192347929462
230,66,TRUE,0.0312714691558448,0.0126557814970843,0.000122524989445256
231,17,FALSE,0.218270879706994,0.0643278983074946,0.000474480501583431
232,16,FALSE,0.24383370652683,0.0790696252569835,0.000556035099403133
233,19,FALSE,0.191734765922689,0.0642805302166039,0.00049930084163714
234,20,FALSE,0.176242717433028,0.0590985070486576,0.000488913414166983
235,15,FALSE,0.263139406478427,0.0842107373557127,0.000518267364241576
236,23,FALSE,0.147291918477662,0.0577668739737945,0.000537202547399168
237,16,FALSE,0.237135440547241,0.0694483140315681,0.000508453534224667
238,15,FALSE,0.260403786967414,0.0814496091214648,0.000548428206846181
239,16,FALSE,0.235150553355428,0.0670426479887529,0.000473999931116848
240,25,FALSE,0.132891856078808,0.0545552891656057,0.000491733929858099
241,16,FALSE,0.247131569761241,0.0890228835945211,0.000729544761239474
242,21,FALSE,0.17824014910478,0.075798584206652,0.00067733067885869
243,14,FALSE,0.284375076954901,0.0953747775065148,0.000718890312549851
244,22,FALSE,0.164194177266895,0.0679930138954818,0.000602067280115937
245,18,FALSE,0.215384815859512,0.082361009776953,0.00068834044646474
246,22,FALSE,0.160592923836588,0.066941762682534,0.000650492553064194
247,15,FALSE,0.267643566524525,0.0975607842701647,0.000808704455157632
248,17,FALSE,0.228964399330738,0.0837239904139129,0.000716400188492041
249,17,FALSE,0.225513299946253,0.0810213833674326,0.000684734021991988
250,20,FALSE,0.182733540149012,0.0713946005022014,0.000665337222650745
251,21,FALSE,0.169072466658934,0.0652173128289372,0.00057302271060959
252,21,FALSE,0.178617000156539,0.0755969630660481,0.000673066466058336
253,18,FALSE,0.218165211002541,0.0855813549565713,0.000743107956288796
254,22,FALSE,0.166216492522548,0.0716032315230852,0.000669046326989079
255,23,FALSE,0.15135363815226,0.0656014764700327,0.000630863365654972
256,20,FALSE,0.186093733895642,0.0740839079462074,0.00065302978932973
